#OTU_Table	Sa-01	Sa-05	Sem-01	Sem-03	Sk-01	Sk-04	V-01	V-03
JQ461335.1.1385	0.0201163354338342	0	0	0	0	0	0	0
GU410546.1.1412	0.0146631119728551	0	0	0	0	0	0	0
KF735063.293127.294383	0	0	0	0	0	0.00516392458268284	0	0
AY349374.1.1536	0.00109064469219583	0.0294422251812398	0	0	0	0	0	0
JQ460198.1.1393	0	0.0362479656753958	0	0	0	0	0	0
FR774558.1.1497	0	0	0	0	0.00626699775334043	0	0	0
JF125962.1.1359	0.00702859912748425	0	0	0	0	0	0	0
CBYN010000177.386.1880	0	0	0	0.00932552591628714	0	0	0	0
JF149183.1.1342	0	0	0	0	0.0076859406408892	0.00570433529482407	0	0
KX385112.1.1308	0	0	0	0	0.0107603168972449	0.00534406148672991	0	0
KX766023.1.1231	0	0	0	0	0	0.00342260117689444	0	0
DQ228573.1.1464	0.00824042656325739	0.00281106672584702	0	0	0	0	0	0
AB547685.1.1480	0	0.0210090250036988	0	0	0	0	0	0
KF101349.1.1358	0.00375666505089675	0	0	0	0	0	0	0
GQ096767.1.1345	0	0	0	0	0.00248315005321036	0.00390296625435331	0	0
KF089613.1.1338	0	0	0	0	0	0.00132100396301189	0	0
FM873903.1.1478	0	0	0.0220653133274493	0.0420733029711559	0	0	0	0
AF473834.1.1411	0.00448376151236064	0.0131676283473887	0	0	0	0	0	0
KF098402.1.1357	0.00630150266602036	0	0	0	0	0	0	0
JF003292.1.1341	0	0	0	0	0	0.0129098114567071	0	0
JQ475410.1.1323	0.00399903053805138	0.00503032993046309	0	0	0	0.00132100396301189	0	0
HM021409.1.1446	0	0	0	0.00412058121882455	0	0	0	0
X81906.1.1324	0	0	0	0	0	0	0.00184899845916795	0.00146020929666586
GU409596.1.1218	0.00557440620455647	0.0103565616215416	0	0	0	0	0	0
JX861486.1.1440	0.00302956858943286	0.0011836070424619	0	0	0	0.00084063888555302	0	0
JF241929.1.1349	0.0147842947164324	0.0054741825713863	0	0	0	0	0	0
HE681352.1.1518	0.00908870576829859	0.00769344577600237	0	0	0	0	0	0
MH447010.1.1277	0.00399903053805138	0.000739754401538689	0	0	0	0.000660501981505945	0	0
KX989350.1.1426	0	0	0	0	0.0126522407473099	0.00498378767863576	0	0
AY211542.1.1343	0	0	0.0838481906443072	0.0856647148124051	0	0	0	0
AF385505.1.1533	0.00787687833252545	0.038911081520935	0	0	0	0	0	0
JF134055.1.1368	0	0	0	0.00650618087182824	0	0	0	0
AF385577.1.1508	0.0117547261269995	0.00295901760615476	0	0	0	0	0	0
KF099005.1.1369	0.00327193407658749	0	0	0	0	0.00120091269364717	0	0
KT860421.1.1231	0	0	0	0	0.00662173347522762	0.00408310315840038	0	0
KC456560.1.1438	0	0	0	0	0	0.0027620991953885	0	0
JQ460090.1.1320	0	0.0102086107412339	0	0	0	0	0	0
KX822156.1.1325	0	0	0.0167696381288614	0.00867490782910432	0	0	0	0
Y13364.1.1510	0.00290838584585555	0.00162745968338512	0	0	0	0	0	0
JN573359.1.1276	0	0	0	0	0.00271964053446849	0	0	0
MH447036.1.1260	0.00327193407658749	0.00591803521230951	0	0	0	0	0	0
HG380546.1.1330	0	0	0	0	0	0.00150114086705896	0	0
HM184934.1.1492	0	0	0	0	0	0.00198150594451783	0	0
EU573788.1.1421	0	0	0	0	0	0.00930707337576558	0	0
FJ558472.1.1408	0	0	0	0.00346996313164173	0	0.000660501981505945	0	0
KJ777672.1.1431	0	0	0	0	0.00875014780655079	0.00318241863816501	0	0
DQ531639.1.1442	0	0	0	0	0.00449331914390446	0	0	0
JQ460081.1.1399	0.00678623364032962	0.00813729841692558	0	0	0	0	0	0
MH173282.1.1272	0	0	0	0.0028193450444589	0	0	0	0
JQ449532.1.1391	0	0.0207131232430833	0	0	0	0	0	0
KF841942.1.1298	0	0	0	0	0	0.00678515671910652	0	0
EU484189.1.1402	0	0	0	0	0.00591226203145323	0.00468355950522397	0	0
JQ449434.1.1369	0.00799806107610276	0.000295901760615476	0	0	0	0	0	0
AB108825.1.1490	0.00678623364032962	0	0	0	0	0	0	0
JQ447991.1.1404	0.00436257876878332	0	0	0	0	0	0	0
HM596287.1.1540	0.00605913717886573	0	0	0	0	0	0	0
KF089720.1.1341	0	0	0	0	0.00555752630956604	0	0	0
HQ805158.1.1469	0.00884634028114397	0	0	0	0	0	0	0
KF098384.1.1337	0.00678623364032962	0	0	0	0	0	0	0
FR832424.1.1407	0	0	0	0	0.00744945015963107	0.00318241863816501	0	0
JF747611.1.1274	0.00630150266602036	0	0	0	0	0	0	0
KF101790.1.1360	0.00290838584585555	0	0	0	0	0	0	0
CP003666.348540.350056	0.00533204071740184	0	0	0	0	0	0	0
AJ936933.1.1345	0	0	0	0	0.00319262149698475	0.00228173411792963	0	0
KF109836.1.1385	0	0	0	0	0	0.00600456346823586	0	0
FJ558236.1.1295	0.00702859912748425	0	0	0	0	0	0	0
KP214608.2.1224	0	0	0	0	0	0.000720547616188303	0	0
EU705022.1.1285	0	0	0	0	0	0.000360273808094152	0	0
GU432165.1.1236	0	0.0201213197218523	0	0	0	0	0	0
JF088258.1.1335	0	0	0	0	0.00662173347522762	0.000780593250870662	0	0
AF537601.1.1468	0	0	0	0	0	0.00552419839077699	0	0
AJ006963.1.1453	0.0049684924866699	0	0	0	0	0	0	0
KF103232.1.1331	0.0105428986912264	0	0	0	0	0	0	0
FJ482217.1.1351	0	0	0	0	0.0102873359347286	0	0	0
AY571668.1.1382	0	0.00192336144400059	0	0	0	0.000540410712141227	0	0
JQ452138.1.1369	0.00727096461463888	0	0	0	0	0	0	0
KF101670.1.1332	0.00315075133301018	0	0	0	0	0	0	0
KY575377.1.1292	0	0	0	0	0	0.00426324006244746	0	0
HM247547.1.1372	0	0	0	0.00238559965300369	0	0	0	0
EU768384.1.1367	0	0.0066577896138482	0	0	0	0	0	0
AJ251584.1.1414	0	0	0.0114739629302736	0.00975927130774236	0	0	0	0
HE681349.1.1508	0.00254483761512361	0.00281106672584702	0	0	0	0	0	0
FJ470591.1.1499	0.00436257876878332	0	0	0	0	0	0	0
AF385510.1.1522	0.00424139602520601	0	0	0	0	0	0	0
AB547696.1.1280	0	0.0110963160230803	0	0	0	0	0	0
FJ894926.1.1357	0	0	0	0	0	0.000720547616188303	0	0
KF099543.1.1332	0	0	0	0.00672305356755584	0	0	0	0
HE681326.1.1533	0.00448376151236064	0.00221926320461607	0	0	0	0	0	0
JQ460203.1.1388	0	0.00591803521230951	0	0	0	0	0	0
AM420076.1.1495	0.00593795443528842	0	0	0	0	0	0	0
JQ453306.1.1386	0.00436257876878332	0	0	0	0	0	0	0
GU227163.1.1450	0.00157537566650509	0.00591803521230951	0	0	0	0	0	0
AJ275038.1.1439	0	0	0	0	0.00662173347522762	0	0	0
CP017038.556177.557715	0.0041202132816287	0	0	0	0	0	0	0
GQ338722.1.1525	0	0.0325491936677023	0	0	0	0	0	0
AM420095.1.1471	0	0.0103565616215416	0	0	0	0	0	0
JF240039.1.1322	0	0	0	0	0	0.000900684520235379	0	0
FJ557719.1.1386	0.00290838584585555	0.0011836070424619	0	0	0	0	0	0
FJ983115.1.1241	0	0.00503032993046309	0	0	0	0	0	0
JF139697.1.1284	0	0	0	0	0.00260139529383942	0	0	0
AM420032.1.1494	0.00557440620455647	0	0	0	0	0	0	0
GQ155708.1.1366	0.000121182743577315	0.00103565616215416	0	0	0	0	0	0
HL281973.2.1492	0.00278720310227824	0	0	0	0	0	0	0
HM120209.1.1377	0	0.00340287024707797	0	0	0	0	0	0
EU536498.1.1387	0	0	0	0	0.00721295967837295	0	0	0
AJ871435.1.1451	0	0	0	0	0.00461156438453352	0.00132100396301189	0	0
JQ449390.1.1395	0.00775569558894813	0	0	0	0	0	0	0
FJ557325.1.1390	0.000484730974309258	0.00443852640923214	0	0	0	0	0	0
GEMC01068557.118.1431	0	0	0	0	0	0.00342260117689444	0	0
JQ460061.1.1433	0.000484730974309258	0.0042905755289244	0	0	0	0	0	0
AY207057.1.1449	0.00436257876878332	0	0	0	0	0	0	0
HM120210.1.1395	0.00145419292292777	0	0	0	0	0	0	0
MH447050.1.1256	0	0.00680574049415594	0	0	0	0	0	0
JF228738.1.1352	0	0	0	0	0	0.00330250990752972	0	0
AF084850.1.1436	0	0	0.00264783759929391	0	0	0	0	0
DQ802026.1.1286	0	0	0	0	0	0.000720547616188303	0	0
KF061618.1.1340	0	0	0	0	0	0.00318241863816501	0	0
KF099374.1.1357	0	0	0.00529567519858782	0.00390370852309694	0	0	0	0
KF084610.1.1355	0.00290838584585555	0	0	0	0	0	0	0
JF131578.1.1367	0	0.00769344577600237	0	0	0	0	0	0
JQ456138.1.1363	0.000848279205041202	0	0	0	0	0	0	0
HE681325.1.1643	0.00569558894813379	0	0	0	0	0	0	0
AJ540309.1.1413	0.00799806107610276	0	0	0	0	0	0	0
AB671762.1.1477	0.00302956858943286	0	0	0	0	0	0	0
FM874023.1.1417	0	0	0	0	0.00283788577509755	0.00150114086705896	0	0
AB547702.1.1491	0.00206010664081435	0	0	0	0	0	0	0
GQ338720.1.1529	0.00315075133301018	0	0	0	0	0	0	0
JQ476871.1.1400	0	0.00133155792276964	0	0	0	0	0	0
EU237492.1.1458	0	0	0	0	0.00461156438453352	0	0	0
KF101348.1.1363	0.00533204071740184	0	0	0	0	0	0	0
KY476240.1.1200	0	0	0	0	0	0.00264200792602378	0	0
Y07849.1.1322	0	0	0	0	0	0.000540410712141227	0	0
KF102009.1.1359	0.00157537566650509	0	0	0	0	0	0	0
KC814651.1.1234	0	0	0	0	0	0.000180136904047076	0	0
FM873623.1.1443	0	0	0	0	0	0.0024618710219767	0	0
AY959006.1.1513	0	0	0	0	0	0	0.00308166409861325	0.00498904843027501
JQ473836.1.1358	0	0.00177541056369285	0	0	0	0	0	0
DQ796136.1.1225	0	0	0	0	0	0.000600456346823586	0	0
JQ452595.1.1426	0.00472612699951527	0	0	0	0	0	0	0
KU560277.1.1424	0	0	0	0	0	0.00234177975261199	0	0
AJ290758.1.1466	0.00242365487154629	0.00266311584553928	0	0	0	0	0	0
AB547676.1.1493	0	0	0.0211827007943513	0.0108436347863804	0	0	0	0
AJ279038.1.1506	0	0	0	0	0.00437507390327539	0	0	0
KF088666.1.1342	0	0	0	0	0	6.00456346823586e-05	0	0
JF506640.1.1362	0.000121182743577315	0.000147950880307738	0	0	0	0	0	0
EU909647.1.1362	0	0	0.0167696381288614	0	0	0	0	0
EF071257.1.1224	0	0	0	0	0	0.000600456346823586	0	0
AY362906.1.1362	0	0.00147950880307738	0	0	0	0	0	0
KF098392.1.1347	0.000363548230731944	0.00236721408492381	0	0	0	0	0	0
KJ127996.1.1518	0	0	0	0	0.00390209294075913	0	0	0
DQ898156.101048.102537	0	0	0	0	0	0.00198150594451783	0	0
GQ004952.1.1371	0	0	0.00441306266548985	0.00325309043591412	0	0	0	0
JQ466905.1.1388	0.00387784779447407	0	0	0	0	0	0	0
AB166881.1.1416	0	0	0	0	0.000472980962516259	0.00168127777110604	0	0
KF037547.1.1466	0	0	0	0	0	0.00192146030983548	0	0
JN379052.1.1495	0.00181774115365972	0	0	0	0	0	0	0
EU775692.1.1352	0.0016965584100824	0	0	0	0	0	0	0
AB009828.1.1461	0	0	0	0	0.003665602459501	0	0	0
DQ195856.1.1363	0	0	0	0	0	0.00180136904047076	0	0
KF101799.1.1351	0.00351429956374212	0	0	0	0	0	0	0
LN810637.1.1401	0	0	0	0	0.00342911197824288	0	0	0
EU462389.1.1390	0	0	0	0	0	0.0017413234057884	0	0
CP011131.1024009.1025541	0	0	0	0	0	0.0017413234057884	0	0
MF045107.1.1412	0	0	0	0	0	0.00120091269364717	0	0
GQ092782.1.1359	0	0	0	0	0	0.000660501981505945	0	0
FJ509937.1.1383	0.00460494425593795	0	0	0	0	0	0	0
JQ460226.1.1424	0	0.00414262464861666	0	0	0	0	0	0
GASZ01002509.15.1691	0	0	0	0	0	0.000480365077458869	0	0
JQ474102.1.1405	0.00327193407658749	0.00103565616215416	0	0	0	0	0	0
JQ460222.1.1391	0.000727096461463887	0.00133155792276964	0	0	0	0	0	0
MG238538.1.1497	0	0	0	0	0	0.00198150594451783	0	0
JF022053.1.1363	0.00315075133301018	0	0	0	0	0	0	0
HQ757500.1.1466	0	0.00384672288800118	0	0	0	0	0	0
JQ447595.1.1414	0.00302956858943286	0	0	0	0	0	0	0
AWVR01000095.17.1514	0.00533204071740184	0	0	0	0	0	0	0
JQ477229.1.1399	0.00157537566650509	0	0	0	0	0	0	0
JQ463565.1.1380	0	0.00621393697292499	0	0	0	0	0	0
JQ467377.1.1339	0	0	0	0	0	0.00144109523237661	0	0
JQ449894.1.1374	0	0.00221926320461607	0	0	0	0	0	0
HQ757668.1.1446	0.00278720310227824	0	0	0	0	0	0	0
CP001962.592399.595224	0	0	0	0	0.00224665957195223	0	0	0
MF578790.1.1419	0.00266602035870092	0	0	0	0	0	0	0
FJ957839.1.1460	0	0	0	0	0.00212841433132316	0.00132100396301189	0	0
FJ602395.1.1404	0	0	0	0	0	0.00132100396301189	0	0
JQ452125.1.1330	0	0.00310696848646249	0	0	0	0	0	0
AF385509.1.1502	0	0.00310696848646249	0	0	0	0	0	0
FJ365431.1.1359	0	0	0	0	0	0.00126095832832953	0	0
DQ793555.1.1290	0	0	0	0	0	0.00108082142428245	0	0
JQ456195.1.1393	0.00242365487154629	0	0	0	0	0	0	0
HM266969.1.1365	0.00242365487154629	0	0	0	0	0	0	0
EU979061.1.1453	0	0	0	0	0.00236490481258129	0	0	0
KJ862122.1.1382	0	0	0	0	0.00236490481258129	0	0	0
X79287.1.1472	0	0	0	0	0	0.00120091269364717	0	0
EU135490.1.1347	0	0	0	0	0	0.00120091269364717	0	0
FN667332.1.1437	0	0	0	0	0	0.00120091269364717	0	0
GQ897589.1.1486	0	0	0	0	0	0.00120091269364717	0	0
JQ798404.1.1485	0	0	0	0	0	0.00120091269364717	0	0
GQ003913.1.1349	0	0	0	0.00151810887009326	0	0	0	0
MH813973.1.1314	0	0.0011836070424619	0	0	0	0	0	0
FJ470453.1.1473	0.00618031992244304	0	0	0	0	0	0	0
JF146329.1.1382	0.00230247212796898	0	0	0	0	0	0	0
AM420144.1.1397	0.00157537566650509	0	0	0	0	0	0	0
JF217893.1.1356	0.00157537566650509	0	0	0	0	0	0	0
JQ475317.1.1231	0	0.00266311584553928	0	0	0	0	0	0
AB618491.1.1506	0	0	0	0	0	0.00108082142428245	0	0
KF063161.1.1316	0	0	0	0	0	0.00108082142428245	0	0
CEAC01018704.2791.4293	0	0	0	0	0	0.00108082142428245	0	0
KF098311.1.1350	0.00206010664081435	0	0	0	0	0	0	0
JQ452519.1.1326	0.00206010664081435	0	0	0	0	0	0	0
AF432138.1.1487	0.00121182743577315	0.00251516496523154	0	0	0	0	0	0
AB022678.1.1462	0	0	0	0	0.0020101690906941	0	0	0
FN421521.1.1381	0	0	0	0	0	0.0010207757896001	0	0
KX585212.1.1381	0	0	0	0	0	0.0010207757896001	0	0
EF154120.1.1410	0	0	0	0	0	0.0010207757896001	0	0
EU763160.1.1358	0	0	0	0	0	0.0010207757896001	0	0
AB643464.1.1414	0	0.00236721408492381	0	0	0	0	0	0
LN571576.1.1347	0	0	0	0	0	0.000960730154917738	0	0
KF843112.1.1397	0	0	0	0	0	0.000960730154917738	0	0
FJ555565.1.1396	0	0	0	0	0	0.000960730154917738	0	0
JF152722.1.1344	0	0	0	0	0	0.000960730154917738	0	0
KJ734881.1.1385	0	0	0	0	0	0.000960730154917738	0	0
AY850429.1.1250	0	0	0	0	0	0.000960730154917738	0	0
AB002520.1.1377	0	0.00221926320461607	0	0	0	0	0	0
JQ447623.1.1398	0	0.00221926320461607	0	0	0	0	0	0
KF100208.1.1364	0	0	0	0.00325309043591412	0	0	0	0
GU214151.1.1428	0	0	0	0	0	0.000900684520235379	0	0
AY663436.1.1431	0	0	0	0	0	0.000900684520235379	0	0
KC554302.1.1520	0	0	0	0	0	0.000900684520235379	0	0
KF101668.1.1358	0.0016965584100824	0	0	0	0	0	0	0
EU762705.1.1383	0.000484730974309258	0.000591803521230951	0	0	0	0	0	0
JF241759.1.1361	0	0.00207131232430833	0	0	0	0	0	0
DQ796676.1.1389	0	0	0	0	0	0.00084063888555302	0	0
KF842772.1.1397	0	0	0	0	0	0.00084063888555302	0	0
JN104029.1.1463	0	0.00192336144400059	0	0	0	0	0	0
AY005070.1.1284	0	0.00192336144400059	0	0	0	0	0	0
JN989300.1.1435	0	0	0	0	0	0.000780593250870662	0	0
KF063723.1.1343	0	0	0	0	0	0.00144109523237661	0	0
MRWE01000064.169.1719	0	0	0	0	0	0.000780593250870662	0	0
JF957137.1.1377	0	0	0	0	0	0.000780593250870662	0	0
AB008507.1.1464	0	0	0	0	0	0.000780593250870662	0	0
JF229745.1.1368	0	0	0	0	0	0.000180136904047076	0.000308166409861325	0
FJ557743.1.1389	0.00145419292292777	0	0	0	0	0	0	0
AF385576.1.1516	0.00145419292292777	0	0	0	0	0	0	0
JQ478036.1.1390	0	0.00177541056369285	0	0	0	0	0	0
JQ476896.1.1333	0	0.00177541056369285	0	0	0	0	0	0
CP009312.554489.556018	0	0	0.0105913503971756	0	0	0	0	0
AF132270.1.1279	0	0	0	0	0.00141894288754878	0	0	0
MH236283.1.1212	0	0	0	0	0	0.000720547616188303	0	0
FJ957836.1.1455	0	0	0	0	0	0.000720547616188303	0	0
KF066950.1.1341	0.00133301017935046	0	0	0	0	0	0	0
CP027241.1111604.1113141	0.00133301017935046	0	0	0	0	0	0	0
JQ449983.1.1321	0.00133301017935046	0	0	0	0	0	0	0
AF287794.1.1510	0	0.00162745968338512	0	0	0	0	0	0
MH446998.1.1252	0	0	0	0.00238559965300369	0	0	0	0
HQ731452.1.1457	0	0	0	0	0.00130069764691971	0	0	0
AB374374.1.1477	0	0	0	0	0	0.000660501981505945	0	0
EU928992.1.1386	0	0	0	0	0	0.000660501981505945	0	0
JQ474129.1.1384	0	0.00147950880307738	0	0	0	0	0	0
GEEO01017285.65.1522	0	0	0	0	0.00118245240629065	0	0	0
DQ798280.1.1322	0	0	0	0	0	0.000600456346823586	0	0
HM310061.1.1351	0.000605913717886573	0	0	0	0	0	0	0
JQ455242.1.1373	0.000363548230731944	0	0	0	0	0	0	0
JQ473747.1.1401	0	0.000591803521230951	0	0	0	0	0	0
KC410867.1.1447	0	0	0	0	0.00106420716566158	0	0	0
LN562500.1.1337	0	0	0	0	0.000709471443774388	0.000300228173411793	0	0
CDYI01023850.213.1721	0	0	0	0	0	0.000540410712141227	0	0
KX692279.1.1210	0	0	0	0	0	0.000540410712141227	0	0
JQ447821.1.1420	0.000969461948618517	0	0	0	0	0	0	0
MH571622.1.1350	0	0	0	0	0	0.000480365077458869	0	0
AY850461.1.1228	0	0	0	0	0	0.000480365077458869	0	0
KP030688.1.1443	0	0	0	0	0	0.000480365077458869	0	0
AB184545.1.1479	0	0	0	0	0	0.000480365077458869	0	0
HE681285.1.1531	0.000848279205041202	0	0	0	0	0	0	0
AB681369.1.1472	0	0	0	0	0	0.00042031944277651	0	0
KF952570.1.1442	0	0	0	0	0	0.00042031944277651	0	0
GU584356.1.1286	0	0	0	0	0	0.00042031944277651	0	0
AB616133.1.1466	0.000727096461463887	0	0	0	0	0	0	0
JQ654157.1.1502	0.000727096461463887	0	0	0	0	0	0	0
GQ011154.1.1359	0	0.0011836070424619	0	0	0	0	0	0
KC432448.1.1329	0	0	0	0	0.000709471443774388	0	0	0
KU248754.1.1456	0	0	0	0	0	0.000360273808094152	0	0
KF842660.1.1369	0	0	0	0	0	0.000360273808094152	0	0
GBHJ01003687.151.1360	0	0	0	0	0	0.000360273808094152	0	0
KF098316.1.1357	0	0	0	0	0	0.000360273808094152	0	0
