# Constructed from biom file
#OTU ID	PCR-neg-1	PCR-neg-2	Sa-01	Sa-05	Sem-01	Sem-03	Sk-01	Sk-04	V-01	V-03
JQ460176.1.1377	0.0	0.0	26.0	344.0	0.0	0.0	0.0	0.0	0.0	0.0
FJ823143.1.1436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
EF019669.1.1293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0
JQ453270.1.1420	0.0	0.0	201.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MH447060.1.1253	0.0	0.0	12.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
MK005285.1.1200	0.0	251.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0
JQ460147.1.1404	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KF080191.1.1336	0.0	0.0	236.0	41.0	0.0	0.0	0.0	40.0	0.0	0.0
MF360110.1.1460	0.0	0.0	0.0	0.0	13.0	32.0	0.0	0.0	0.0	0.0
KF842224.1.1431	0.0	0.0	137.0	67.0	0.0	0.0	0.0	0.0	0.0	0.0
KF061609.1.1285	0.0	0.0	0.0	0.0	3.0	0.0	0.0	10.0	0.0	0.0
AY962237.1.1371	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
ATBY01000001.60.1575	0.0	0.0	0.0	0.0	18.0	84.0	0.0	0.0	0.0	0.0
FJ715928.1.1401	0.0	0.0	0.0	0.0	27.0	77.0	0.0	0.0	0.0	0.0
KT154886.1.1354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0
AB547673.1.1490	0.0	0.0	0.0	0.0	56.0	206.0	0.0	0.0	0.0	0.0
KR514582.1.1245	0.0	378.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GQ006259.1.1327	0.0	0.0	0.0	0.0	34.0	194.0	13.0	0.0	0.0	0.0
JQ460060.1.1314	0.0	0.0	128.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
JF043049.1.1264	0.0	0.0	0.0	0.0	0.0	0.0	92.0	13.0	0.0	0.0
CP023863.1753390.1754923	0.0	0.0	0.0	109.0	0.0	0.0	0.0	0.0	0.0	0.0
MH718771.1.1217	0.0	442.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KX454112.1.1254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0
AY958933.1.1490	0.0	0.0	40.0	190.0	0.0	0.0	0.0	0.0	0.0	0.0
MG674353.1.1253	0.0	348.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JQ460098.1.1396	0.0	0.0	46.0	359.0	0.0	0.0	0.0	0.0	0.0	0.0
HE586271.1.1304	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0
MK014293.1.1228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0
JQ014317.1.1286	0.0	0.0	0.0	0.0	0.0	0.0	85.0	244.0	0.0	0.0
JQ468346.1.1383	0.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KF101666.1.1371	0.0	0.0	69.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0
KF101754.1.1382	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AM697030.1.1479	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0
JQ461335.1.1385	0.0	0.0	166.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GU410546.1.1412	0.0	0.0	121.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KF735063.293127.294383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	0.0
AY349374.1.1536	0.0	0.0	9.0	199.0	0.0	0.0	0.0	0.0	0.0	0.0
JQ460198.1.1393	0.0	0.0	0.0	245.0	0.0	0.0	0.0	0.0	0.0	0.0
FR774558.1.1497	0.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0
JF125962.1.1359	0.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CBYN010000177.386.1880	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0
JF149183.1.1342	0.0	0.0	0.0	0.0	0.0	0.0	65.0	95.0	0.0	0.0
KX385112.1.1308	0.0	0.0	0.0	0.0	0.0	0.0	91.0	89.0	0.0	0.0
KJ852652.1.1520	0.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KX766023.1.1231	0.0	61.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0
DQ228573.1.1464	0.0	0.0	68.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0
AB547685.1.1480	0.0	0.0	0.0	142.0	0.0	0.0	0.0	0.0	0.0	0.0
KF101349.1.1358	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GQ096767.1.1345	0.0	0.0	0.0	0.0	0.0	0.0	21.0	65.0	0.0	0.0
KF089613.1.1338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0
FM873903.1.1478	0.0	0.0	0.0	0.0	25.0	194.0	0.0	0.0	0.0	0.0
AF473834.1.1411	0.0	0.0	37.0	89.0	0.0	0.0	0.0	0.0	0.0	0.0
KF098402.1.1357	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KP995734.1.1509	0.0	165.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JF003292.1.1341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	215.0	0.0	0.0
JQ475410.1.1323	0.0	0.0	33.0	34.0	0.0	0.0	0.0	22.0	0.0	0.0
HM021409.1.1446	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0
X81906.1.1324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	12.0
GU409596.1.1218	0.0	0.0	46.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0
JX861486.1.1440	0.0	0.0	25.0	8.0	0.0	0.0	0.0	14.0	0.0	0.0
JF241929.1.1349	0.0	0.0	122.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0
HE681352.1.1518	0.0	0.0	75.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0
AY642552.1.1440	0.0	103.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MH447010.1.1277	0.0	0.0	33.0	5.0	0.0	0.0	0.0	11.0	0.0	0.0
KX989350.1.1426	0.0	0.0	0.0	0.0	0.0	0.0	107.0	83.0	0.0	0.0
AY211542.1.1343	0.0	0.0	0.0	0.0	95.0	395.0	0.0	0.0	0.0	0.0
AF385505.1.1533	0.0	0.0	65.0	263.0	0.0	0.0	0.0	0.0	0.0	0.0
JF134055.1.1368	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0
AF385577.1.1508	0.0	0.0	97.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0
KF099005.1.1369	0.0	0.0	27.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0
KT860421.1.1231	0.0	0.0	0.0	0.0	0.0	0.0	56.0	68.0	0.0	0.0
KC456560.1.1438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0
JQ460090.1.1320	0.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0
KM014527.1.1373	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KX822156.1.1325	0.0	0.0	0.0	0.0	19.0	40.0	0.0	0.0	0.0	0.0
Y13364.1.1510	0.0	0.0	24.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
JN573359.1.1276	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0
MH447036.1.1260	0.0	0.0	27.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0
HG380546.1.1330	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0
HM184934.1.1492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0
EU573788.1.1421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	155.0	0.0	0.0
FJ558472.1.1408	0.0	0.0	0.0	0.0	0.0	16.0	0.0	11.0	0.0	0.0
KJ777672.1.1431	0.0	0.0	0.0	0.0	0.0	0.0	74.0	53.0	0.0	0.0
DQ531639.1.1442	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0
JQ460081.1.1399	0.0	0.0	56.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0
MH173282.1.1272	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0
